ABOs,Original P4 CTS URN,Perseus Abbreviation,Language,Perseus text ID,Authors,Work,"Other Abbreviations (LSJ, OCD, etc)",Notes
"Perseus:abo:tlg,0014,007",urn:cts:greekLit:tlg0014.tlg007.perseus-eng1,Dem. 7,English,Perseus:text:1999.01.0070:speech=7,Demosthenes,On the Halonnesus,D.7,
"Perseus:abo:tlg,0014,008",urn:cts:greekLit:tlg0014.tlg008.perseus-eng1,Dem. 8,English,Perseus:text:1999.01.0070:speech=8,Demosthenes,On the Chersonese,D.8,
"Perseus:abo:tlg,0014,009",urn:cts:greekLit:tlg0014.tlg009.perseus-eng1,Dem. 9,English,Perseus:text:1999.01.0070:speech=9,Demosthenes,Philippic 3,D.9,
"Perseus:abo:tlg,0014,010",urn:cts:greekLit:tlg0014.tlg010.perseus-eng1,Dem. 10,English,Perseus:text:1999.01.0070:speech=10,Demosthenes,Philippic 4,D.10,
"Perseus:abo:tlg,0014,011",urn:cts:greekLit:tlg0014.tlg011.perseus-eng1,Dem. 11,English,Perseus:text:1999.01.0072:speech=11,Demosthenes,Reply to Philip,D.11,
"Perseus:abo:tlg,0014,012",urn:cts:greekLit:tlg0014.tlg012.perseus-eng1,Dem. 12,English,Perseus:text:1999.01.0072:speech=12,Demosthenes,Philip,D.12,
"Perseus:abo:tlg,0014,013",urn:cts:greekLit:tlg0014.tlg013.perseus-eng1,Dem. 13,English,Perseus:text:1999.01.0072:speech=13,Demosthenes,On Organization,D.13,
"Perseus:abo:tlg,0014,014",urn:cts:greekLit:tlg0014.tlg014.perseus-eng1,Dem. 14,English,Perseus:text:1999.01.0072:speech=14,Demosthenes,On the Navy,D.14,
"Perseus:abo:tlg,0014,015",urn:cts:greekLit:tlg0014.tlg015.perseus-eng1,Dem. 15,English,Perseus:text:1999.01.0072:speech=15,Demosthenes,On the Liberty of the Rhodians,D.15,
"Perseus:abo:tlg,0014,016",urn:cts:greekLit:tlg0014.tlg016.perseus-eng1,Dem. 16,English,Perseus:text:1999.01.0072:speech=16,Demosthenes,For the Megalopolitans,D.16,
"Perseus:abo:tlg,0014,017",urn:cts:greekLit:tlg0014.tlg017.perseus-eng1,Dem. 17,English,Perseus:text:1999.01.0072:speech=17,Demosthenes,On the Accession of Alexander,D.17,
"Perseus:abo:tlg,0014,018",urn:cts:greekLit:tlg0014.tlg018.perseus-eng1,Dem. 18,English,Perseus:text:1999.01.0072:speech=18,Demosthenes,On the crown,D.18; Dem. De. Cor,
"Perseus:abo:tlg,0014,019",urn:cts:greekLit:tlg0014.tlg019.perseus-eng1,Dem. 19,English,Perseus:text:1999.01.0072:speech=19,Demosthenes,On the False Embassy,D.19,
"Perseus:abo:tlg,0014,020",urn:cts:greekLit:tlg0014.tlg020.perseus-eng1,Dem. 20,English,Perseus:text:1999.01.0072:speech=20,Demosthenes,Against Leptines,D.20; Dem. Lept.,
"Perseus:abo:tlg,0014,021",urn:cts:greekLit:tlg0014.tlg021.perseus-eng1,Dem. 21,English,Perseus:text:1999.01.0074:speech=21,Demosthenes,Against Midias,D.21; Dem. Meid.,
"Perseus:abo:tlg,0014,022",urn:cts:greekLit:tlg0014.tlg022.perseus-eng1,Dem. 22,English,Perseus:text:1999.01.0074:speech=22,Demosthenes,Against Androtion,D.22,
"Perseus:abo:tlg,0014,023",urn:cts:greekLit:tlg0014.tlg023.perseus-eng1,Dem. 23,English,Perseus:text:1999.01.0074:speech=23,Demosthenes,Against Aristocrates,D.23,
"Perseus:abo:tlg,0014,024",urn:cts:greekLit:tlg0014.tlg024.perseus-eng1,Dem. 24,English,Perseus:text:1999.01.0074:speech=24,Demosthenes,Against Timocrates,D.24,
"Perseus:abo:tlg,0014,025",urn:cts:greekLit:tlg0014.tlg025.perseus-eng1,Dem. 25,English,Perseus:text:1999.01.0074:speech=25,Demosthenes,Against Aristogiton 1,D.25,
"Perseus:abo:tlg,0014,026",urn:cts:greekLit:tlg0014.tlg026.perseus-eng1,Dem. 26,English,Perseus:text:1999.01.0074:speech=26,Demosthenes,Against Aristogiton 2,D.26,
"Perseus:abo:tlg,0014,027",urn:cts:greekLit:tlg0014.tlg027.perseus-eng1,Dem. 27,English,Perseus:text:1999.01.0074:speech=27,Demosthenes,Against Aphobus 1,D.27,
"Perseus:abo:tlg,0014,028",urn:cts:greekLit:tlg0014.tlg028.perseus-eng1,Dem. 28,English,Perseus:text:1999.01.0074:speech=28,Demosthenes,Against Aphobus 2,D.28,
"Perseus:abo:tlg,0014,029",urn:cts:greekLit:tlg0014.tlg029.perseus-eng1,Dem. 29,English,Perseus:text:1999.01.0074:speech=29,Demosthenes,Against Aphobus,D.29,
"Perseus:abo:tlg,0014,030",urn:cts:greekLit:tlg0014.tlg030.perseus-eng1,Dem. 30,English,Perseus:text:1999.01.0074:speech=30,Demosthenes,Against Onetor,D.30,
"Perseus:abo:tlg,0014,031",urn:cts:greekLit:tlg0014.tlg031.perseus-eng1,Dem. 31,English,Perseus:text:1999.01.0076:speech=31,Demosthenes,Against Onetor 2,D.31,
"Perseus:abo:tlg,0014,032",urn:cts:greekLit:tlg0014.tlg032.perseus-eng1,Dem. 32,English,Perseus:text:1999.01.0076:speech=32,Demosthenes,Against Zenothemis,D.32,
"Perseus:abo:tlg,0014,033",urn:cts:greekLit:tlg0014.tlg033.perseus-eng1,Dem. 33,English,Perseus:text:1999.01.0076:speech=33,Demosthenes,Against Apatourius,D.33,
